ageBracket,sex,count,percentage
0-4,female,84255.76,3.7317174
0-4,male,90688.25,4.0166147
5-9,female,83410.27,3.6942703
5-9,male,90365.87,4.0023362
10-14,female,68791.52,3.0468006
10-14,male,72744.49,3.2218790999999998
15-19,female,62009.6,2.7464272000000003
15-19,male,65126.86,2.8844914999999998
20-24,female,74367.26,3.2937521999999997
20-24,male,75255.84,3.3331078
25-29,female,94742.76,4.1961902
25-29,male,90570.88,4.0114164
30-34,female,106160.84,4.701901
30-34,male,103540.29,4.5858362999999995
35-39,female,95786.56,4.2424208
35-39,male,94503.85,4.1856091
40-44,female,83400.61,3.6938427000000003
40-44,male,84275.39,3.7325869
45-49,female,73773.45,3.267452
45-49,male,71356.75,3.1604158
50-54,female,75568.57,3.3469589
50-54,male,75557.95,3.3464882
55-59,female,65577.59,2.9044548
55-59,male,68573.22,3.0371322999999997
60-64,female,54934.92,2.433087
60-64,male,58307.57,2.582463
65-69,female,44470.28,1.9696045999999998
65-69,male,42850.35,1.8978570000000001
70-74,female,24648.85,1.0917065
70-74,male,22636.52,1.0025793
75-79,female,15277.18,0.6766316
75-79,male,13950.16,0.6178577000000001
80+,female,16808.83,0.7444692
80+,male,13538.88,0.5996419000000001
